Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
71	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	2.944444
72	9	La4b5	A4b5	300	300	1	8	417	95	96	.	3
73	53			0	0	0	0	0	0	0		3
74	9	Sol4	G4	296	296	1	16	208	95	96	.	3.027778
75	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.055556
76	9	Sol4	G4	296	296	1	16	208	95	96	.	3.083333
77	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.111111
78	9	Sol4	G4	296	296	1	16	208	95	96	.	3.138889
79	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.166667
80	9	Sol4	G4	296	296	1	16	208	95	96	.	3.194444
81	9	Fa4	F4	287	287	1	16	208	95	96	.	3.222222
82	53			0	0	0	0	0	0	0		3.222222
83	9	Re5	D5	327	327	1	24	139	95	96	.	3.240741
84	9	Mi5b5	E5b5	331	331	1	24	139	95	96	.	3.259259
85	9	Fa5	F5	340	340	1	24	139	95	96	.	3.277778
86	9	Sol5	G5	349	349	1	8	417	95	96	.	3.333333
87	9	Fa5	F5	340	340	1	24	139	95	96	.	3.351852
88	9	Mi5b5	E5b5	331	331	1	24	139	95	96	.	3.37037
89	9	Re5	D5	327	327	1	24	139	95	96	.	3.388889
90	9	Do5	C5	318	318	1	8	417	95	96	.	3.444444
91	53			0	0	0	0	0	0	0		3.444444
92	9	Si4b5	B4b5	309	309	3	16	625	95	96	.	3.527778
93	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.555556
94	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	3.583333
95	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.611111
96	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.638889
97	9	Sol4	G4	296	296	1	16	208	95	96	.	3.666667
98	9	Sol4	G4	296	296	1	4	833	95	96	.	3.777778
99	53			0	0	0	0	0	0	0		3.777778
100	9	Do5	C5	318	318	1	16	208	95	96	.	3.805556
101	9	Re5	D5	327	327	1	16	208	95	96	.	3.833333
102	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	3.861111
103	9	Fa5	F5	340	340	1	16	208	95	96	.	3.888889
104	9	Sol5	G5	349	349	1	4	833	95	96	.	4
105	53			0	0	0	0	0	0	0		4
